Partno,Judgement1,Word Pair,Judged Value,Recall,COS,LSA ,FSG
9,associative,Compact_Car,33,1,0.109033254,0.105492,0.169
10,associative,Compact_Car,10,1,0.109033254,0.105492,0.169
11,associative,Compact_Car,50,1,0.109033254,0.105492,0.169
12,associative,Compact_Car,80,1,0.109033254,0.105492,0.169
13,associative,Compact_Car,25,1,0.109033254,0.105492,0.169
14,associative,Compact_Car,10,0,0.109033254,0.105492,0.169
15,associative,Compact_Car,5,0,0.109033254,0.105492,0.169
16,associative,Compact_Car,90,1,0.109033254,0.105492,0.169
17,associative,Compact_Car,5,1,0.109033254,0.105492,0.169
18,associative,Compact_Car,60,0,0.109033254,0.105492,0.169
19,associative,Compact_Car,90,1,0.109033254,0.105492,0.169
20,associative,Compact_Car,70,1,0.109033254,0.105492,0.169
21,associative,Compact_Car,NA,NA,0.109033254,0.105492,0.169
22,associative,Compact_Car,8,1,0.109033254,0.105492,0.169
23,associative,Compact_Car,10,1,0.109033254,0.105492,0.169
24,associative,Compact_Car,5,1,0.109033254,0.105492,0.169
25,associative,Compact_Car,40,1,0.109033254,0.105492,0.169
26,associative,Compact_Car,60,1,0.109033254,0.105492,0.169
27,associative,Compact_Car,NA,NA,0.109033254,0.105492,0.169
28,associative,Compact_Car,20,0,0.109033254,0.105492,0.169
29,associative,Compact_Car,60,1,0.109033254,0.105492,0.169
30,associative,Compact_Car,70,0,0.109033254,0.105492,0.169
31,associative,Compact_Car,55,1,0.109033254,0.105492,0.169
32,associative,Compact_Car,38,1,0.109033254,0.105492,0.169
33,associative,Compact_Car,70,1,0.109033254,0.105492,0.169
34,associative,Compact_Car,60,1,0.109033254,0.105492,0.169
35,associative,Compact_Car,NA,0,0.109033254,0.105492,0.169
36,associative,Compact_Car,75,1,0.109033254,0.105492,0.169
37,associative,Compact_Car,50,NA,0.109033254,0.105492,0.169
38,associative,Compact_Car,80,1,0.109033254,0.105492,0.169
39,associative,Compact_Car,50,1,0.109033254,0.105492,0.169
40,associative,Compact_Car,30,1,0.109033254,0.105492,0.169
41,associative,Compact_Car,90,0,0.109033254,0.105492,0.169
42,associative,Compact_Car,90,1,0.109033254,0.105492,0.169
43,associative,Compact_Car,95,1,0.109033254,0.105492,0.169
44,associative,Compact_Car,NA,0,0.109033254,0.105492,0.169
45,associative,Compact_Car,25,1,0.109033254,0.105492,0.169
46,thematic,Compact_Car,22,1,0.109033254,0.105492,0.169
47,thematic,Compact_Car,30,0,0.109033254,0.105492,0.169
48,thematic,Compact_Car,100,1,0.109033254,0.105492,0.169
49,thematic,Compact_Car,20,0,0.109033254,0.105492,0.169
50,thematic,Compact_Car,60,0,0.109033254,0.105492,0.169
51,thematic,Compact_Car,85,1,0.109033254,0.105492,0.169
52,thematic,Compact_Car,60,1,0.109033254,0.105492,0.169
53,thematic,Compact_Car,100,1,0.109033254,0.105492,0.169
54,thematic,Compact_Car,70,1,0.109033254,0.105492,0.169
55,thematic,Compact_Car,70,0,0.109033254,0.105492,0.169
56,thematic,Compact_Car,0,1,0.109033254,0.105492,0.169
57,thematic,Compact_Car,70,1,0.109033254,0.105492,0.169
58,thematic,Compact_Car,40,1,0.109033254,0.105492,0.169
59,thematic,Compact_Car,70,NA,0.109033254,0.105492,0.169
60,thematic,Compact_Car,50,1,0.109033254,0.105492,0.169
61,thematic,Compact_Car,30,1,0.109033254,0.105492,0.169
62,thematic,Compact_Car,60,1,0.109033254,0.105492,0.169
63,thematic,Compact_Car,100,1,0.109033254,0.105492,0.169
64,thematic,Compact_Car,75,0,0.109033254,0.105492,0.169
65,thematic,Compact_Car,0,1,0.109033254,0.105492,0.169
66,thematic,Compact_Car,60,1,0.109033254,0.105492,0.169
67,thematic,Compact_Car,40,0,0.109033254,0.105492,0.169
68,thematic,Compact_Car,100,1,0.109033254,0.105492,0.169
69,thematic,Compact_Car,50,0,0.109033254,0.105492,0.169
70,semantic,Compact_Car,100,1,0.109033254,0.105492,0.169
71,semantic,Compact_Car,80,0,0.109033254,0.105492,0.169
72,semantic,Compact_Car,20,1,0.109033254,0.105492,0.169
73,semantic,Compact_Car,70,1,0.109033254,0.105492,0.169
74,semantic,Compact_Car,65,1,0.109033254,0.105492,0.169
75,semantic,Compact_Car,30,1,0.109033254,0.105492,0.169
76,semantic,Compact_Car,100,0,0.109033254,0.105492,0.169
77,semantic,Compact_Car,100,1,0.109033254,0.105492,0.169
78,semantic,Compact_Car,75,1,0.109033254,0.105492,0.169
79,semantic,Compact_Car,55,NA,0.109033254,0.105492,0.169
80,semantic,Compact_Car,25,1,0.109033254,0.105492,0.169
81,semantic,Compact_Car,60,1,0.109033254,0.105492,0.169
82,semantic,Compact_Car,50,0,0.109033254,0.105492,0.169
83,semantic,Compact_Car,90,1,0.109033254,0.105492,0.169
84,semantic,Compact_Car,NA,NA,0.109033254,0.105492,0.169
85,semantic,Compact_Car,80,1,0.109033254,0.105492,0.169
86,semantic,Compact_Car,80,1,0.109033254,0.105492,0.169
87,semantic,Compact_Car,85,1,0.109033254,0.105492,0.169
88,semantic,Compact_Car,80,1,0.109033254,0.105492,0.169
89,semantic,Compact_Car,60,1,0.109033254,0.105492,0.169
90,semantic,Compact_Car,5,1,0.109033254,0.105492,0.169
91,semantic,Compact_Car,80,0,0.109033254,0.105492,0.169
92,semantic,Compact_Car,78,0,0.109033254,0.105492,0.169
93,semantic,Compact_Car,50,1,0.109033254,0.105492,0.169
94,semantic,Compact_Car,100,1,0.109033254,0.105492,0.169
95,semantic,Compact_Car,50,1,0.109033254,0.105492,0.169
96,semantic,Compact_Car,60,1,0.109033254,0.105492,0.169
97,semantic,Compact_Car,50,1,0.109033254,0.105492,0.169
98,semantic,Compact_Car,30,1,0.109033254,0.105492,0.169
99,semantic,Compact_Car,20,1,0.109033254,0.105492,0.169
100,semantic,Compact_Car,78,0,0.109033254,0.105492,0.169
101,semantic,Compact_Car,30,0,0.109033254,0.105492,0.169
102,semantic,Compact_Car,60,0,0.109033254,0.105492,0.169
103,semantic,Compact_Car,60,0,0.109033254,0.105492,0.169
104,semantic,Compact_Car,NA,1,0.109033254,0.105492,0.169
105,semantic,Compact_Car,0,1,0.109033254,0.105492,0.169
106,semantic,Compact_Car,NA,0,0.109033254,0.105492,0.169
107,semantic,Compact_Car,32,1,0.109033254,0.105492,0.169
108,semantic,Compact_Car,50,1,0.109033254,0.105492,0.169
109,semantic,Compact_Car,70,1,0.109033254,0.105492,0.169
110,semantic,Compact_Car,100,1,0.109033254,0.105492,0.169
111,semantic,Compact_Car,90,1,0.109033254,0.105492,0.169
112,semantic,Compact_Car,25,0,0.109033254,0.105492,0.169
1,associative,March_Walk,10,NA,0.322219498,0.167248,0.101
2,associative,March_Walk,NA,NA,0.322219498,0.167248,0.101
3,associative,March_Walk,NA,NA,0.322219498,0.167248,0.101
4,associative,March_Walk,77,1,0.322219498,0.167248,0.101
5,associative,March_Walk,60,0,0.322219498,0.167248,0.101
6,associative,March_Walk,5,0,0.322219498,0.167248,0.101
7,associative,March_Walk,60,1,0.322219498,0.167248,0.101
8,associative,March_Walk,40,1,0.322219498,0.167248,0.101
9,associative,March_Walk,45,1,0.322219498,0.167248,0.101
10,associative,March_Walk,10,0,0.322219498,0.167248,0.101
11,associative,March_Walk,35,0,0.322219498,0.167248,0.101
12,associative,March_Walk,35,1,0.322219498,0.167248,0.101
13,associative,March_Walk,100,0,0.322219498,0.167248,0.101
14,associative,March_Walk,23,0,0.322219498,0.167248,0.101
15,associative,March_Walk,20,1,0.322219498,0.167248,0.101
16,associative,March_Walk,80,1,0.322219498,0.167248,0.101
17,associative,March_Walk,20,0,0.322219498,0.167248,0.101
18,associative,March_Walk,25,1,0.322219498,0.167248,0.101
19,associative,March_Walk,45,0,0.322219498,0.167248,0.101
20,associative,March_Walk,75,1,0.322219498,0.167248,0.101
21,associative,March_Walk,NA,NA,0.322219498,0.167248,0.101
22,associative,March_Walk,65,1,0.322219498,0.167248,0.101
23,associative,March_Walk,20,NA,0.322219498,0.167248,0.101
24,associative,March_Walk,40,1,0.322219498,0.167248,0.101
25,associative,March_Walk,95,1,0.322219498,0.167248,0.101
26,associative,March_Walk,15,1,0.322219498,0.167248,0.101
27,associative,March_Walk,NA,NA,0.322219498,0.167248,0.101
28,associative,March_Walk,1,1,0.322219498,0.167248,0.101
29,associative,March_Walk,2,0,0.322219498,0.167248,0.101
30,associative,March_Walk,80,0,0.322219498,0.167248,0.101
31,associative,March_Walk,35,1,0.322219498,0.167248,0.101
32,associative,March_Walk,39,1,0.322219498,0.167248,0.101
33,associative,March_Walk,45,1,0.322219498,0.167248,0.101
34,associative,March_Walk,60,0,0.322219498,0.167248,0.101
35,associative,March_Walk,NA,0,0.322219498,0.167248,0.101
36,associative,March_Walk,65,1,0.322219498,0.167248,0.101
37,associative,March_Walk,60,0,0.322219498,0.167248,0.101
38,associative,March_Walk,60,0,0.322219498,0.167248,0.101
39,associative,March_Walk,75,0,0.322219498,0.167248,0.101
40,associative,March_Walk,25,1,0.322219498,0.167248,0.101
41,associative,March_Walk,45,1,0.322219498,0.167248,0.101
42,associative,March_Walk,80,1,0.322219498,0.167248,0.101
43,associative,March_Walk,100,1,0.322219498,0.167248,0.101
44,associative,March_Walk,NA,0,0.322219498,0.167248,0.101
45,associative,March_Walk,25,0,0.322219498,0.167248,0.101
46,thematic,March_Walk,35,0,0.322219498,0.167248,0.101
47,thematic,March_Walk,100,0,0.322219498,0.167248,0.101
48,thematic,March_Walk,80,1,0.322219498,0.167248,0.101
49,thematic,March_Walk,10,0,0.322219498,0.167248,0.101
50,thematic,March_Walk,60,1,0.322219498,0.167248,0.101
51,thematic,March_Walk,90,0,0.322219498,0.167248,0.101
52,thematic,March_Walk,60,1,0.322219498,0.167248,0.101
53,thematic,March_Walk,100,1,0.322219498,0.167248,0.101
54,thematic,March_Walk,80,1,0.322219498,0.167248,0.101
55,thematic,March_Walk,60,1,0.322219498,0.167248,0.101
56,thematic,March_Walk,0,1,0.322219498,0.167248,0.101
57,thematic,March_Walk,70,0,0.322219498,0.167248,0.101
58,thematic,March_Walk,50,1,0.322219498,0.167248,0.101
59,thematic,March_Walk,90,NA,0.322219498,0.167248,0.101
60,thematic,March_Walk,100,1,0.322219498,0.167248,0.101
61,thematic,March_Walk,60,1,0.322219498,0.167248,0.101
62,thematic,March_Walk,45,0,0.322219498,0.167248,0.101
63,thematic,March_Walk,100,1,0.322219498,0.167248,0.101
64,thematic,March_Walk,75,0,0.322219498,0.167248,0.101
65,thematic,March_Walk,100,1,0.322219498,0.167248,0.101
66,thematic,March_Walk,70,1,0.322219498,0.167248,0.101
67,thematic,March_Walk,60,0,0.322219498,0.167248,0.101
68,thematic,March_Walk,100,1,0.322219498,0.167248,0.101
69,thematic,March_Walk,85,0,0.322219498,0.167248,0.101
70,semantic,March_Walk,100,1,0.322219498,0.167248,0.101
71,semantic,March_Walk,75,0,0.322219498,0.167248,0.101
72,semantic,March_Walk,25,1,0.322219498,0.167248,0.101
73,semantic,March_Walk,30,1,0.322219498,0.167248,0.101
74,semantic,March_Walk,65,1,0.322219498,0.167248,0.101
75,semantic,March_Walk,70,1,0.322219498,0.167248,0.101
76,semantic,March_Walk,100,0,0.322219498,0.167248,0.101
77,semantic,March_Walk,60,1,0.322219498,0.167248,0.101
78,semantic,March_Walk,25,1,0.322219498,0.167248,0.101
79,semantic,March_Walk,80,1,0.322219498,0.167248,0.101
80,semantic,March_Walk,80,1,0.322219498,0.167248,0.101
81,semantic,March_Walk,40,1,0.322219498,0.167248,0.101
82,semantic,March_Walk,80,1,0.322219498,0.167248,0.101
83,semantic,March_Walk,100,1,0.322219498,0.167248,0.101
84,semantic,March_Walk,NA,NA,0.322219498,0.167248,0.101
85,semantic,March_Walk,50,1,0.322219498,0.167248,0.101
86,semantic,March_Walk,100,1,0.322219498,0.167248,0.101
87,semantic,March_Walk,75,0,0.322219498,0.167248,0.101
88,semantic,March_Walk,70,0,0.322219498,0.167248,0.101
89,semantic,March_Walk,0,1,0.322219498,0.167248,0.101
90,semantic,March_Walk,75,1,0.322219498,0.167248,0.101
91,semantic,March_Walk,80,1,0.322219498,0.167248,0.101
92,semantic,March_Walk,70,1,0.322219498,0.167248,0.101
93,semantic,March_Walk,100,1,0.322219498,0.167248,0.101
94,semantic,March_Walk,0,1,0.322219498,0.167248,0.101
95,semantic,March_Walk,80,1,0.322219498,0.167248,0.101
96,semantic,March_Walk,80,1,0.322219498,0.167248,0.101
97,semantic,March_Walk,85,1,0.322219498,0.167248,0.101
98,semantic,March_Walk,75,0,0.322219498,0.167248,0.101
99,semantic,March_Walk,70,0,0.322219498,0.167248,0.101
100,semantic,March_Walk,75,0,0.322219498,0.167248,0.101
101,semantic,March_Walk,70,1,0.322219498,0.167248,0.101
102,semantic,March_Walk,70,0,0.322219498,0.167248,0.101
103,semantic,March_Walk,10,0,0.322219498,0.167248,0.101
104,semantic,March_Walk,NA,0,0.322219498,0.167248,0.101
105,semantic,March_Walk,70,1,0.322219498,0.167248,0.101
106,semantic,March_Walk,NA,NA,0.322219498,0.167248,0.101
107,semantic,March_Walk,71,1,0.322219498,0.167248,0.101
108,semantic,March_Walk,85,1,0.322219498,0.167248,0.101
109,semantic,March_Walk,100,1,0.322219498,0.167248,0.101
110,semantic,March_Walk,100,1,0.322219498,0.167248,0.101
111,semantic,March_Walk,100,1,0.322219498,0.167248,0.101
112,semantic,March_Walk,50,1,0.322219498,0.167248,0.101
